date,division,index
2020-01-01,overall,123.1
2020-02-01,overall,123.1
2020-03-01,overall,121.9
2020-04-01,overall,118.8
2020-05-01,overall,119.1
2020-06-01,overall,120.2
2020-07-01,overall,120.8
2020-08-01,overall,120.9
2020-09-01,overall,120.8
2020-10-01,overall,120.9
2020-11-01,overall,120.7
2020-12-01,overall,121.4
2021-01-01,overall,122.7
2021-02-01,overall,123.1
2021-03-01,overall,123.5
2021-04-01,overall,123.6
2021-05-01,overall,123.6
2021-06-01,overall,123.7
2021-07-01,overall,123.0
2021-08-01,overall,123.1
2021-09-01,overall,123.4
2021-10-01,overall,124.3
2021-11-01,overall,124.7
2021-12-01,overall,125.3
2022-01-01,overall,125.8
2022-02-01,overall,126.0
2022-03-01,overall,126.2
2022-04-01,overall,126.4
2022-05-01,overall,127.2
2022-06-01,overall,127.9
2022-07-01,overall,128.3
2022-08-01,overall,128.6
2022-09-01,overall,128.8
2022-10-01,overall,129.1
2022-11-01,overall,129.6
2022-12-01,overall,129.8
2023-01-01,overall,130.2
2023-02-01,overall,130.7
2023-03-01,overall,130.8
2023-04-01,overall,130.7
2023-05-01,overall,131.2
2023-06-01,overall,131.3
2023-07-01,overall,131.4
2023-08-01,overall,131.6
2023-09-01,overall,131.7
2023-10-01,overall,131.7
2023-11-01,overall,131.8
2023-12-01,overall,132.0
2024-01-01,overall,132.3
2024-02-01,overall,132.9
2024-03-01,overall,133.0
2024-04-01,overall,133.1
2024-05-01,overall,133.5
2024-06-01,overall,133.7
2024-07-01,overall,133.7
2024-08-01,overall,133.8
2024-09-01,overall,133.8
2024-10-01,overall,133.9
2024-11-01,overall,133.9
2024-12-01,overall,134.1
2025-01-01,overall,134.2
2025-02-01,overall,134.7
2025-03-01,overall,134.7
2025-04-01,overall,134.7
2025-05-01,overall,134.9
2025-06-01,overall,135.0
2025-07-01,overall,134.8
2025-08-01,overall,135.0
2025-09-01,overall,135.3
2025-10-01,overall,135.2
2025-11-01,overall,135.2
2025-12-01,overall,135.6
2026-01-01,overall,135.8
2026-02-01,overall,136.2
2026-03-01,overall,136.3
2020-01-01,01,132.5
2020-02-01,01,132.6
2020-03-01,01,132.3
2020-04-01,01,132.0
2020-05-01,01,132.4
2020-06-01,01,133.1
2020-07-01,01,133.0
2020-08-01,01,133.2
2020-09-01,01,133.0
2020-10-01,01,133.2
2020-11-01,01,133.0
2020-12-01,01,133.8
2021-01-01,01,134.2
2021-02-01,01,134.2
2021-03-01,01,134.2
2021-04-01,01,134.7
2021-05-01,01,134.3
2021-06-01,01,134.8
2021-07-01,01,134.8
2021-08-01,01,134.9
2021-09-01,01,135.9
2021-10-01,01,136.2
2021-11-01,01,136.9
2021-12-01,01,138.5
2022-01-01,01,139.3
2022-02-01,01,139.5
2022-03-01,01,139.8
2022-04-01,01,140.2
2022-05-01,01,141.6
2022-06-01,01,143.1
2022-07-01,01,144.1
2022-08-01,01,144.4
2022-09-01,01,144.8
2022-10-01,01,145.4
2022-11-01,01,146.3
2022-12-01,01,147.0
2023-01-01,01,147.7
2023-02-01,01,148.5
2023-03-01,01,148.7
2023-04-01,01,148.3
2023-05-01,01,148.8
2023-06-01,01,148.9
2023-07-01,01,149.2
2023-08-01,01,149.3
2023-09-01,01,149.4
2023-10-01,01,149.5
2023-11-01,01,149.2
2023-12-01,01,149.8
2024-01-01,01,150.4
2024-02-01,01,150.5
2024-03-01,01,150.4
2024-04-01,01,150.4
2024-05-01,01,150.7
2024-06-01,01,151.3
2024-07-01,01,151.1
2024-08-01,01,151.0
2024-09-01,01,151.2
2024-10-01,01,151.7
2024-11-01,01,151.7
2024-12-01,01,152.6
2025-01-01,01,152.7
2025-02-01,01,153.0
2025-03-01,01,153.1
2025-04-01,01,152.9
2025-05-01,01,152.7
2025-06-01,01,152.9
2025-07-01,01,152.7
2025-08-01,01,152.7
2025-09-01,01,153.1
2025-10-01,01,153.3
2025-11-01,01,153.3
2025-12-01,01,154.3
2026-01-01,01,154.5
2026-02-01,01,154.4
2026-03-01,01,154.1
2020-01-01,02,173.5
2020-02-01,02,173.6
2020-03-01,02,173.7
2020-04-01,02,173.7
2020-05-01,02,173.7
2020-06-01,02,173.7
2020-07-01,02,173.8
2020-08-01,02,173.9
2020-09-01,02,174.0
2020-10-01,02,173.9
2020-11-01,02,174.0
2020-12-01,02,174.0
2021-01-01,02,174.0
2021-02-01,02,174.0
2021-03-01,02,174.1
2021-04-01,02,174.2
2021-05-01,02,174.2
2021-06-01,02,174.2
2021-07-01,02,174.2
2021-08-01,02,174.2
2021-09-01,02,174.2
2021-10-01,02,174.2
2021-11-01,02,174.3
2021-12-01,02,174.3
2022-01-01,02,174.3
2022-02-01,02,174.4
2022-03-01,02,174.5
2022-04-01,02,174.5
2022-05-01,02,174.5
2022-06-01,02,174.5
2022-07-01,02,174.6
2022-08-01,02,174.7
2022-09-01,02,174.7
2022-10-01,02,174.8
2022-11-01,02,175.0
2022-12-01,02,174.9
2023-01-01,02,175.0
2023-02-01,02,175.0
2023-03-01,02,175.1
2023-04-01,02,175.1
2023-05-01,02,175.1
2023-06-01,02,175.1
2023-07-01,02,175.2
2023-08-01,02,175.2
2023-09-01,02,175.8
2023-10-01,02,175.8
2023-11-01,02,175.8
2023-12-01,02,175.7
2024-01-01,02,175.6
2024-02-01,02,175.6
2024-03-01,02,175.8
2024-04-01,02,175.9
2024-05-01,02,176.2
2024-06-01,02,176.3
2024-07-01,02,176.6
2024-08-01,02,176.7
2024-09-01,02,176.8
2024-10-01,02,176.9
2024-11-01,02,176.9
2024-12-01,02,176.6
2025-01-01,02,176.6
2025-02-01,02,176.6
2025-03-01,02,176.6
2025-04-01,02,176.6
2025-05-01,02,176.7
2025-06-01,02,176.7
2025-07-01,02,176.9
2025-08-01,02,176.9
2025-09-01,02,176.9
2025-10-01,02,176.9
2025-11-01,02,181.5
2025-12-01,02,181.7
2026-01-01,02,181.7
2026-02-01,02,181.8
2026-03-01,02,182.0
2020-01-01,03,94.7
2020-02-01,03,94.7
2020-03-01,03,94.7
2020-04-01,03,94.7
2020-05-01,03,94.7
2020-06-01,03,94.6
2020-07-01,03,94.6
2020-08-01,03,94.6
2020-09-01,03,94.5
2020-10-01,03,94.5
2020-11-01,03,94.5
2020-12-01,03,94.4
2021-01-01,03,94.4
2021-02-01,03,94.4
2021-03-01,03,94.4
2021-04-01,03,94.3
2021-05-01,03,94.2
2021-06-01,03,94.2
2021-07-01,03,94.2
2021-08-01,03,94.2
2021-09-01,03,94.2
2021-10-01,03,94.1
2021-11-01,03,94.1
2021-12-01,03,94.1
2022-01-01,03,94.2
2022-02-01,03,94.2
2022-03-01,03,94.2
2022-04-01,03,94.2
2022-05-01,03,94.3
2022-06-01,03,94.4
2022-07-01,03,94.5
2022-08-01,03,94.6
2022-09-01,03,94.6
2022-10-01,03,94.6
2022-11-01,03,94.6
2022-12-01,03,94.6
2023-01-01,03,94.7
2023-02-01,03,94.8
2023-03-01,03,94.8
2023-04-01,03,94.7
2023-05-01,03,94.7
2023-06-01,03,94.7
2023-07-01,03,94.7
2023-08-01,03,94.7
2023-09-01,03,94.7
2023-10-01,03,94.7
2023-11-01,03,94.7
2023-12-01,03,94.7
2024-01-01,03,94.7
2024-02-01,03,94.6
2024-03-01,03,94.7
2024-04-01,03,94.6
2024-05-01,03,94.7
2024-06-01,03,94.7
2024-07-01,03,94.7
2024-08-01,03,94.6
2024-09-01,03,94.6
2024-10-01,03,94.5
2024-11-01,03,94.4
2024-12-01,03,94.2
2025-01-01,03,94.3
2025-02-01,03,94.3
2025-03-01,03,94.3
2025-04-01,03,94.3
2025-05-01,03,94.3
2025-06-01,03,94.3
2025-07-01,03,94.3
2025-08-01,03,94.2
2025-09-01,03,94.1
2025-10-01,03,94.0
2025-11-01,03,94.1
2025-12-01,03,94.0
2026-01-01,03,94.1
2026-02-01,03,94.1
2026-03-01,03,94.0
2020-01-01,04,119.9
2020-02-01,04,120.3
2020-03-01,04,120.3
2020-04-01,04,115.9
2020-05-01,04,115.9
2020-06-01,04,115.9
2020-07-01,04,115.9
2020-08-01,04,116.0
2020-09-01,04,116.0
2020-10-01,04,116.0
2020-11-01,04,116.1
2020-12-01,04,116.1
2021-01-01,04,118.7
2021-02-01,04,118.9
2021-03-01,04,118.9
2021-04-01,04,118.9
2021-05-01,04,119.0
2021-06-01,04,119.0
2021-07-01,04,116.3
2021-08-01,04,116.3
2021-09-01,04,116.3
2021-10-01,04,119.1
2021-11-01,04,119.3
2021-12-01,04,119.3
2022-01-01,04,119.3
2022-02-01,04,119.6
2022-03-01,04,119.6
2022-04-01,04,119.6
2022-05-01,04,120.1
2022-06-01,04,120.1
2022-07-01,04,120.1
2022-08-01,04,120.6
2022-09-01,04,120.6
2022-10-01,04,120.6
2022-11-01,04,120.9
2022-12-01,04,120.9
2023-01-01,04,120.9
2023-02-01,04,121.6
2023-03-01,04,121.6
2023-04-01,04,121.6
2023-05-01,04,122.6
2023-06-01,04,122.6
2023-07-01,04,122.6
2023-08-01,04,123.0
2023-09-01,04,123.0
2023-10-01,04,123.0
2023-11-01,04,123.4
2023-12-01,04,123.4
2024-01-01,04,123.6
2024-02-01,04,125.1
2024-03-01,04,125.7
2024-04-01,04,125.7
2024-05-01,04,126.5
2024-06-01,04,126.5
2024-07-01,04,126.5
2024-08-01,04,126.6
2024-09-01,04,126.7
2024-10-01,04,126.7
2024-11-01,04,126.8
2024-12-01,04,126.8
2025-01-01,04,126.9
2025-02-01,04,127.6
2025-03-01,04,127.6
2025-04-01,04,127.6
2025-05-01,04,128.2
2025-06-01,04,128.2
2025-07-01,04,127.7
2025-08-01,04,128.0
2025-09-01,04,128.4
2025-10-01,04,127.8
2025-11-01,04,127.8
2025-12-01,04,128.1
2026-01-01,04,128.3
2026-02-01,04,129.5
2026-03-01,04,129.6
2020-01-01,05,112.2
2020-02-01,05,112.3
2020-03-01,05,112.2
2020-04-01,05,111.6
2020-05-01,05,111.7
2020-06-01,05,111.8
2020-07-01,05,111.8
2020-08-01,05,111.9
2020-09-01,05,112.0
2020-10-01,05,111.9
2020-11-01,05,111.9
2020-12-01,05,111.9
2021-01-01,05,112.7
2021-02-01,05,112.8
2021-03-01,05,113.3
2021-04-01,05,113.4
2021-05-01,05,113.6
2021-06-01,05,113.7
2021-07-01,05,113.7
2021-08-01,05,113.7
2021-09-01,05,113.8
2021-10-01,05,114.0
2021-11-01,05,114.3
2021-12-01,05,114.6
2022-01-01,05,115.2
2022-02-01,05,115.5
2022-03-01,05,116.0
2022-04-01,05,116.1
2022-05-01,05,116.7
2022-06-01,05,117.3
2022-07-01,05,118.0
2022-08-01,05,118.6
2022-09-01,05,118.7
2022-10-01,05,119.0
2022-11-01,05,119.2
2022-12-01,05,119.4
2023-01-01,05,119.7
2023-02-01,05,120.0
2023-03-01,05,120.2
2023-04-01,05,120.2
2023-05-01,05,120.5
2023-06-01,05,120.6
2023-07-01,05,120.9
2023-08-01,05,121.2
2023-09-01,05,121.4
2023-10-01,05,121.3
2023-11-01,05,121.6
2023-12-01,05,121.4
2024-01-01,05,121.5
2024-02-01,05,121.6
2024-03-01,05,121.8
2024-04-01,05,121.8
2024-05-01,05,121.9
2024-06-01,05,122.1
2024-07-01,05,122.2
2024-08-01,05,122.2
2024-09-01,05,122.1
2024-10-01,05,122.0
2024-11-01,05,122.1
2024-12-01,05,122.0
2025-01-01,05,122.1
2025-02-01,05,122.0
2025-03-01,05,122.0
2025-04-01,05,122.0
2025-05-01,05,122.1
2025-06-01,05,122.1
2025-07-01,05,122.1
2025-08-01,05,122.2
2025-09-01,05,122.2
2025-10-01,05,122.1
2025-11-01,05,122.1
2025-12-01,05,122.2
2026-01-01,05,122.1
2026-02-01,05,122.0
2026-03-01,05,121.9
2020-01-01,06,123.1
2020-02-01,06,123.3
2020-03-01,06,123.6
2020-04-01,06,123.6
2020-05-01,06,123.6
2020-06-01,06,123.8
2020-07-01,06,123.9
2020-08-01,06,124.0
2020-09-01,06,124.0
2020-10-01,06,124.1
2020-11-01,06,124.1
2020-12-01,06,124.1
2021-01-01,06,124.2
2021-02-01,06,124.2
2021-03-01,06,124.4
2021-04-01,06,124.4
2021-05-01,06,124.4
2021-06-01,06,124.5
2021-07-01,06,124.5
2021-08-01,06,124.5
2021-09-01,06,124.5
2021-10-01,06,124.6
2021-11-01,06,124.5
2021-12-01,06,124.5
2022-01-01,06,124.7
2022-02-01,06,125.0
2022-03-01,06,124.8
2022-04-01,06,125.0
2022-05-01,06,125.2
2022-06-01,06,125.4
2022-07-01,06,125.9
2022-08-01,06,126.0
2022-09-01,06,126.2
2022-10-01,06,126.3
2022-11-01,06,126.7
2022-12-01,06,126.6
2023-01-01,06,127.0
2023-02-01,06,127.5
2023-03-01,06,127.6
2023-04-01,06,127.7
2023-05-01,06,127.8
2023-06-01,06,128.0
2023-07-01,06,128.3
2023-08-01,06,128.8
2023-09-01,06,128.8
2023-10-01,06,129.0
2023-11-01,06,129.3
2023-12-01,06,129.5
2024-01-01,06,129.7
2024-02-01,06,130.2
2024-03-01,06,130.2
2024-04-01,06,130.4
2024-05-01,06,130.5
2024-06-01,06,130.3
2024-07-01,06,130.6
2024-08-01,06,130.9
2024-09-01,06,130.8
2024-10-01,06,130.8
2024-11-01,06,130.9
2024-12-01,06,130.9
2025-01-01,06,131.4
2025-02-01,06,131.6
2025-03-01,06,131.6
2025-04-01,06,131.6
2025-05-01,06,131.9
2025-06-01,06,131.9
2025-07-01,06,132.3
2025-08-01,06,132.4
2025-09-01,06,132.5
2025-10-01,06,132.8
2025-11-01,06,132.8
2025-12-01,06,132.9
2026-01-01,06,133.1
2026-02-01,06,133.1
2026-03-01,06,133.4
2020-01-01,07,114.1
2020-02-01,07,113.6
2020-03-01,07,102.0
2020-04-01,07,85.3
2020-05-01,07,86.3
2020-06-01,07,95.0
2020-07-01,07,100.4
2020-08-01,07,100.0
2020-09-01,07,100.0
2020-10-01,07,99.6
2020-11-01,07,98.3
2020-12-01,07,102.3
2021-01-01,07,107.0
2021-02-01,07,110.2
2021-03-01,07,113.5
2021-04-01,07,113.6
2021-05-01,07,113.7
2021-06-01,07,113.7
2021-07-01,07,113.8
2021-08-01,07,113.8
2021-09-01,07,113.8
2021-10-01,07,114.0
2021-11-01,07,114.2
2021-12-01,07,114.4
2022-01-01,07,114.9
2022-02-01,07,115.1
2022-03-01,07,115.5
2022-04-01,07,115.7
2022-05-01,07,116.3
2022-06-01,07,116.8
2022-07-01,07,117.1
2022-08-01,07,117.0
2022-09-01,07,117.3
2022-10-01,07,117.4
2022-11-01,07,117.5
2022-12-01,07,117.4
2023-01-01,07,117.4
2023-02-01,07,117.5
2023-03-01,07,117.6
2023-04-01,07,117.8
2023-05-01,07,117.9
2023-06-01,07,117.9
2023-07-01,07,118.0
2023-08-01,07,118.1
2023-09-01,07,118.1
2023-10-01,07,118.3
2023-11-01,07,118.3
2023-12-01,07,118.3
2024-01-01,07,118.3
2024-02-01,07,118.7
2024-03-01,07,118.6
2024-04-01,07,118.7
2024-05-01,07,118.7
2024-06-01,07,119.0
2024-07-01,07,119.1
2024-08-01,07,119.3
2024-09-01,07,119.2
2024-10-01,07,119.1
2024-11-01,07,119.1
2024-12-01,07,119.2
2025-01-01,07,119.5
2025-02-01,07,119.7
2025-03-01,07,119.6
2025-04-01,07,119.6
2025-05-01,07,119.7
2025-06-01,07,119.7
2025-07-01,07,120.0
2025-08-01,07,120.1
2025-09-01,07,120.2
2025-10-01,07,118.8
2025-11-01,07,118.8
2025-12-01,07,118.9
2026-01-01,07,118.7
2026-02-01,07,119.1
2026-03-01,07,120.6
2020-01-01,08,97.2
2020-02-01,08,97.2
2020-03-01,08,97.2
2020-04-01,08,97.2
2020-05-01,08,97.2
2020-06-01,08,97.2
2020-07-01,08,97.2
2020-08-01,08,97.2
2020-09-01,08,97.2
2020-10-01,08,97.2
2020-11-01,08,97.2
2020-12-01,08,97.2
2021-01-01,08,97.2
2021-02-01,08,97.2
2021-03-01,08,97.2
2021-04-01,08,97.2
2021-05-01,08,97.2
2021-06-01,08,97.2
2021-07-01,08,97.2
2021-08-01,08,97.2
2021-09-01,08,97.2
2021-10-01,08,97.2
2021-11-01,08,97.2
2021-12-01,08,97.2
2022-01-01,08,97.2
2022-02-01,08,97.2
2022-03-01,08,97.2
2022-04-01,08,97.2
2022-05-01,08,97.2
2022-06-01,08,97.2
2022-07-01,08,97.1
2022-08-01,08,97.1
2022-09-01,08,97.1
2022-10-01,08,97.1
2022-11-01,08,97.1
2022-12-01,08,97.1
2023-01-01,08,96.8
2023-02-01,08,96.8
2023-03-01,08,96.8
2023-04-01,08,96.8
2023-05-01,08,96.3
2023-06-01,08,96.3
2023-07-01,08,96.3
2023-08-01,08,96.3
2023-09-01,08,96.3
2023-10-01,08,96.3
2023-11-01,08,96.3
2023-12-01,08,96.3
2024-01-01,08,96.3
2024-02-01,08,96.3
2024-03-01,08,96.3
2024-04-01,08,96.3
2024-05-01,08,96.8
2024-06-01,08,96.8
2024-07-01,08,96.8
2024-08-01,08,96.8
2024-09-01,08,96.8
2024-10-01,08,95.4
2024-11-01,08,94.2
2024-12-01,08,92.9
2025-01-01,08,93.2
2025-02-01,08,93.2
2025-03-01,08,93.2
2025-04-01,08,93.7
2025-05-01,08,93.6
2025-06-01,08,93.7
2025-07-01,08,93.0
2025-08-01,08,93.6
2025-09-01,08,94.3
2025-10-01,08,94.3
2025-11-01,08,93.6
2025-12-01,08,94.0
2026-01-01,08,94.0
2026-02-01,08,93.5
2026-03-01,08,94.2
2020-01-01,09,113.1
2020-02-01,09,113.1
2020-03-01,09,113.0
2020-04-01,09,113.0
2020-05-01,09,113.0
2020-06-01,09,113.1
2020-07-01,09,113.2
2020-08-01,09,112.8
2020-09-01,09,112.9
2020-10-01,09,112.9
2020-11-01,09,112.9
2020-12-01,09,112.9
2021-01-01,09,113.0
2021-02-01,09,113.1
2021-03-01,09,113.6
2021-04-01,09,113.8
2021-05-01,09,113.8
2021-06-01,09,113.8
2021-07-01,09,113.8
2021-08-01,09,113.8
2021-09-01,09,113.8
2021-10-01,09,113.3
2021-11-01,09,113.3
2021-12-01,09,113.9
2022-01-01,09,114.8
2022-02-01,09,115.8
2022-03-01,09,115.3
2022-04-01,09,115.8
2022-05-01,09,116.1
2022-06-01,09,116.6
2022-07-01,09,117.0
2022-08-01,09,117.0
2022-09-01,09,117.5
2022-10-01,09,117.2
2022-11-01,09,117.8
2022-12-01,09,116.0
2023-01-01,09,117.9
2023-02-01,09,117.1
2023-03-01,09,117.2
2023-04-01,09,118.0
2023-05-01,09,118.5
2023-06-01,09,118.8
2023-07-01,09,118.2
2023-08-01,09,118.4
2023-09-01,09,118.1
2023-10-01,09,117.9
2023-11-01,09,118.0
2023-12-01,09,118.8
2024-01-01,09,119.0
2024-02-01,09,119.1
2024-03-01,09,119.0
2024-04-01,09,119.8
2024-05-01,09,119.8
2024-06-01,09,120.0
2024-07-01,09,120.1
2024-08-01,09,120.0
2024-09-01,09,119.9
2024-10-01,09,119.8
2024-11-01,09,119.9
2024-12-01,09,120.0
2025-01-01,09,120.1
2025-02-01,09,119.8
2025-03-01,09,119.8
2025-04-01,09,120.2
2025-05-01,09,120.2
2025-06-01,09,120.3
2025-07-01,09,120.3
2025-08-01,09,120.3
2025-09-01,09,120.3
2025-10-01,09,120.4
2025-11-01,09,120.5
2025-12-01,09,120.5
2026-01-01,09,120.6
2026-02-01,09,120.7
2026-03-01,09,120.9
2020-01-01,10,116.9
2020-02-01,10,116.9
2020-03-01,10,117.0
2020-04-01,10,116.9
2020-05-01,10,116.9
2020-06-01,10,116.8
2020-07-01,10,117.0
2020-08-01,10,117.0
2020-09-01,10,117.0
2020-10-01,10,117.0
2020-11-01,10,117.0
2020-12-01,10,117.0
2021-01-01,10,116.9
2021-02-01,10,116.9
2021-03-01,10,116.9
2021-04-01,10,117.0
2021-05-01,10,117.0
2021-06-01,10,117.0
2021-07-01,10,117.0
2021-08-01,10,116.8
2021-09-01,10,116.8
2021-10-01,10,116.8
2021-11-01,10,116.9
2021-12-01,10,116.9
2022-01-01,10,117.3
2022-02-01,10,117.4
2022-03-01,10,117.3
2022-04-01,10,117.5
2022-05-01,10,117.5
2022-06-01,10,117.7
2022-07-01,10,117.8
2022-08-01,10,117.8
2022-09-01,10,117.8
2022-10-01,10,117.8
2022-11-01,10,117.9
2022-12-01,10,117.9
2023-01-01,10,118.2
2023-02-01,10,118.5
2023-03-01,10,118.6
2023-04-01,10,118.7
2023-05-01,10,118.9
2023-06-01,10,119.1
2023-07-01,10,119.1
2023-08-01,10,119.3
2023-09-01,10,119.3
2023-10-01,10,119.4
2023-11-01,10,119.4
2023-12-01,10,119.4
2024-01-01,10,119.6
2024-02-01,10,119.9
2024-03-01,10,120.0
2024-04-01,10,120.2
2024-05-01,10,120.5
2024-06-01,10,120.7
2024-07-01,10,120.8
2024-08-01,10,120.8
2024-09-01,10,120.8
2024-10-01,10,121.0
2024-11-01,10,121.1
2024-12-01,10,121.1
2025-01-01,10,121.2
2025-02-01,10,121.7
2025-03-01,10,122.5
2025-04-01,10,122.7
2025-05-01,10,123.0
2025-06-01,10,123.2
2025-07-01,10,123.4
2025-08-01,10,123.5
2025-09-01,10,123.5
2025-10-01,10,124.0
2025-11-01,10,124.2
2025-12-01,10,124.5
2026-01-01,10,125.1
2026-02-01,10,125.3
2026-03-01,10,125.4
2020-01-01,11,134.5
2020-02-01,11,134.8
2020-03-01,11,134.8
2020-04-01,11,134.7
2020-05-01,11,134.8
2020-06-01,11,134.8
2020-07-01,11,134.9
2020-08-01,11,135.0
2020-09-01,11,135.2
2020-10-01,11,135.3
2020-11-01,11,135.3
2020-12-01,11,135.3
2021-01-01,11,135.4
2021-02-01,11,135.5
2021-03-01,11,135.6
2021-04-01,11,135.7
2021-05-01,11,135.8
2021-06-01,11,135.8
2021-07-01,11,135.9
2021-08-01,11,135.9
2021-09-01,11,135.9
2021-10-01,11,136.2
2021-11-01,11,136.5
2021-12-01,11,137.0
2022-01-01,11,138.6
2022-02-01,11,139.2
2022-03-01,11,139.8
2022-04-01,11,140.6
2022-05-01,11,141.1
2022-06-01,11,142.9
2022-07-01,11,144.4
2022-08-01,11,145.2
2022-09-01,11,145.7
2022-10-01,11,146.4
2022-11-01,11,147.1
2022-12-01,11,147.7
2023-01-01,11,148.7
2023-02-01,11,149.9
2023-03-01,11,150.2
2023-04-01,11,150.4
2023-05-01,11,150.8
2023-06-01,11,151.1
2023-07-01,11,151.4
2023-08-01,11,151.9
2023-09-01,11,152.2
2023-10-01,11,152.9
2023-11-01,11,153.3
2023-12-01,11,153.5
2024-01-01,11,153.7
2024-02-01,11,154.7
2024-03-01,11,155.5
2024-04-01,11,156.3
2024-05-01,11,156.8
2024-06-01,11,157.4
2024-07-01,11,157.9
2024-08-01,11,158.4
2024-09-01,11,158.5
2024-10-01,11,158.8
2024-11-01,11,159.1
2024-12-01,11,159.5
2025-01-01,11,160.1
2025-02-01,11,160.9
2025-03-01,11,161.1
2025-04-01,11,161.6
2025-05-01,11,162.3
2025-06-01,11,162.5
2025-07-01,11,163.8
2025-08-01,11,164.2
2025-09-01,11,164.3
2025-10-01,11,164.7
2025-11-01,11,164.9
2025-12-01,11,165.2
2026-01-01,11,165.5
2026-02-01,11,166.0
2026-03-01,11,166.1
2020-01-01,12,112.1
2020-02-01,12,112.1
2020-03-01,12,112.2
2020-04-01,12,112.2
2020-05-01,12,112.2
2020-06-01,12,112.2
2020-07-01,12,112.2
2020-08-01,12,112.2
2020-09-01,12,112.2
2020-10-01,12,112.2
2020-11-01,12,112.2
2020-12-01,12,112.2
2021-01-01,12,112.2
2021-02-01,12,112.2
2021-03-01,12,112.2
2021-04-01,12,112.2
2021-05-01,12,112.2
2021-06-01,12,112.2
2021-07-01,12,112.2
2021-08-01,12,112.2
2021-09-01,12,112.2
2021-10-01,12,112.2
2021-11-01,12,112.2
2021-12-01,12,112.2
2022-01-01,12,112.2
2022-02-01,12,112.2
2022-03-01,12,112.2
2022-04-01,12,112.2
2022-05-01,12,112.2
2022-06-01,12,112.3
2022-07-01,12,112.3
2022-08-01,12,112.3
2022-09-01,12,112.4
2022-10-01,12,112.4
2022-11-01,12,112.4
2022-12-01,12,112.3
2023-01-01,12,112.3
2023-02-01,12,112.3
2023-03-01,12,112.3
2023-04-01,12,112.3
2023-05-01,12,112.3
2023-06-01,12,112.3
2023-07-01,12,112.1
2023-08-01,12,112.1
2023-09-01,12,112.1
2023-10-01,12,112.1
2023-11-01,12,112.1
2023-12-01,12,112.1
2024-01-01,12,112.1
2024-02-01,12,112.1
2024-03-01,12,112.1
2024-04-01,12,112.2
2024-05-01,12,112.4
2024-06-01,12,112.4
2024-07-01,12,113.1
2024-08-01,12,113.1
2024-09-01,12,113.1
2024-10-01,12,113.1
2024-11-01,12,113.1
2024-12-01,12,113.1
2025-01-01,12,113.1
2025-02-01,12,114.2
2025-03-01,12,114.3
2025-04-01,12,114.3
2025-05-01,12,114.3
2025-06-01,12,114.3
2025-07-01,12,115.4
2025-08-01,12,116.2
2025-09-01,12,116.2
2025-10-01,12,116.2
2025-11-01,12,116.2
2025-12-01,12,116.2
2026-01-01,12,116.2
2026-02-01,12,116.2
2026-03-01,12,116.6
2020-01-01,13,115.7
2020-02-01,13,115.7
2020-03-01,13,115.9
2020-04-01,13,115.1
2020-05-01,13,115.5
2020-06-01,13,116.1
2020-07-01,13,116.4
2020-08-01,13,116.8
2020-09-01,13,116.8
2020-10-01,13,116.8
2020-11-01,13,116.9
2020-12-01,13,116.8
2021-01-01,13,116.9
2021-02-01,13,116.7
2021-03-01,13,116.7
2021-04-01,13,116.7
2021-05-01,13,116.8
2021-06-01,13,116.8
2021-07-01,13,116.8
2021-08-01,13,116.9
2021-09-01,13,117.0
2021-10-01,13,117.5
2021-11-01,13,117.6
2021-12-01,13,117.8
2022-01-01,13,118.0
2022-02-01,13,118.2
2022-03-01,13,118.7
2022-04-01,13,118.8
2022-05-01,13,118.9
2022-06-01,13,119.3
2022-07-01,13,119.4
2022-08-01,13,119.5
2022-09-01,13,119.7
2022-10-01,13,120.0
2022-11-01,13,120.4
2022-12-01,13,120.4
2023-01-01,13,120.6
2023-02-01,13,121.1
2023-03-01,13,121.3
2023-04-01,13,121.6
2023-05-01,13,122.1
2023-06-01,13,122.3
2023-07-01,13,122.3
2023-08-01,13,122.5
2023-09-01,13,122.7
2023-10-01,13,122.8
2023-11-01,13,123.0
2023-12-01,13,123.3
2024-01-01,13,123.5
2024-02-01,13,123.8
2024-03-01,13,124.2
2024-04-01,13,125.0
2024-05-01,13,125.3
2024-06-01,13,125.3
2024-07-01,13,125.5
2024-08-01,13,126.3
2024-09-01,13,126.2
2024-10-01,13,126.4
2024-11-01,13,126.9
2024-12-01,13,126.8
2025-01-01,13,127.0
2025-02-01,13,127.7
2025-03-01,13,128.2
2025-04-01,13,129.5
2025-05-01,13,129.3
2025-06-01,13,129.8
2025-07-01,13,129.7
2025-08-01,13,130.0
2025-09-01,13,130.7
2025-10-01,13,132.2
2025-11-01,13,132.2
2025-12-01,13,132.3
2026-01-01,13,133.4
2026-02-01,13,134.1
2026-03-01,13,134.4
